image	caption
/content/MediaEval_NewsImages/Training Dataset/2745A43B9E53413E39DFD0B2E52500B1.jpg	Helena Agri-Enterprises hosts Evolve Innovations Expo in Memphis products group agricenter international
/content/MediaEval_NewsImages/Training Dataset/37FC359AB91C0DC6D21D270AED0C87E3.jpg	No Evidence Of Toddler On Highway Before Carlee Russell Vanished: Cops carlee nichole russell hoover police department
/content/MediaEval_NewsImages/Training Dataset/59495628A854CBBC399881F38DF6471F.jpg	Laramie Rangers Play Final Home Games of 2023 oilers nate perleberg aaron lozano parker co lightning
/content/MediaEval_NewsImages/Training Dataset/74921B2C67ED9EA6A509A09FFE2C42DC.jpg	'Undesired' air brake release behind B.C. train derailment near Alberta: report pacific railway
/content/MediaEval_NewsImages/Training Dataset/E10A3861C9122D8704CFE5A6A8343867.jpg	Why England CAN win the Women's World Cup 2023 - despite missing key players russo fran kirby beth mead ellen white leah williamson lauren james fourfourtwo adam clery rachel daly ella toone chloe kelly niamh charles jess carter alex greenwood sarina wiegman united states
/content/MediaEval_NewsImages/Training Dataset/91557C90C8212ADA6007EF98B4418D4B.jpg	House committee takes aim at U.S. venture capital firms for investments in Chinese A.I. gallagher abu dhabi raja krishnamoorthi antony blinken janet yellen neil shen georgetown center u s commerce department sequoia capital macquarie group new york times qualcomm house select committee chinese communist party denglin technology walden international
/content/MediaEval_NewsImages/Training Dataset/A053193F3F526ED7B1E5A21291012A39.jpg	National Park Service Issues Warning After Second Woman Attacked By Bison roosevelt national park national park service yellowstone national park
/content/MediaEval_NewsImages/Training Dataset/F57D8EB7A534629EA167316F9B74FB95.jpg	Hero Dog Gets $2,000 Reward for Locating Escaped Inmate Michael Burham charles burham cecile stelter cindy ecklund jamestown police department cnn
/content/MediaEval_NewsImages/Training Dataset/4DEE0174F0B8560C7EA4F37DDF846421.jpg	Global stocks, dollar gain as UK cooling inflation lifts sentiment conger deepa babington kim coghill naomi rovnick tom westbrook bernadette baum rhys williams chizu nomiyama reuters m t bank nasdaq federal reserve hirtle callaghan co silicon valley bank goldman sachs
/content/MediaEval_NewsImages/Training Dataset/E0694AF8601B81A91691AF5F6972128D.jpg	6 more heat-related deaths confirmed in Maricopa County, Arizona - WEIS | Local & Area News, Sports, & Weather county department of public health united states national weather service
